Code Article,Libelle Article,Code Descriptif Commercial,Libelle Descriptif Commecial,Ordre,Code Taches,Libelle Tache
IdTV-V,Identification TV^,D00705,Essai au bleu de méthyléne VB,3,TD00705,VB gr
IdTV,Identification TV,D00705,Essai au bleu de méthyléne VB,3,TD00705,VB gr
VB,Essai au bleu de méthylène ,D00705,Essai au bleu de méthyléne VB,3,TD00705,VB gr
Ea.Q,Paramétres physico-chimique de l'eau de gachage,D00001,Prélevement d'un échantillon d'eau de gachage,1,TD00001-1,P.E.R. Eau gachage
RpV,Elaboration du rapport d'étude^,D00702,"Calcul des tassements prévisibles, conditions de drainage de la structure des chaussées et définition de la structure des voies",11,TD00702,Conditions de drainage de la structure des chaussées
RpV,Elaboration du rapport d'étude^,D00700,Méthodologie de renforcement du sol d'assise,9,TD00700,Méthodologie de renforcement du sol d'assise
RpV,Elaboration du rapport d'étude^,D00699,Recommandations pour le choix des matériaux de remblai primaire et secondaire et procédure de mise en œuvre,8,TD00699,Recommandations pour le choix des matériaux de remblai primaire et secondaire et procédure de mise en œuvre
RpV,Elaboration du rapport d'étude^,D00698,Définition du corps de chaussée,3,TD00698,Définition du corps de chaussée
RpV,Elaboration du rapport d'étude^,D00697,Détermination de la portance STI et PJ,2,TD00697,Portance STI et PJ
RpV,Elaboration du rapport d'étude^,D00695,Analyse et interprétation des résultats des essais au laboratoire,1,TD00695,Analyse et interprétation des résultats des essais au laboratoire
RpB,Elaboration du rapport d'étude,D00695,Analyse et interprétation des résultats des essais au laboratoire,2,TD00695,Analyse et interprétation des résultats des essais au laboratoire
RpB,Elaboration du rapport d'étude,D00694,Etablissement du rapport d'étude géotechnique en 03 exemplaires,19,TD00694-1,Rapport d'étude Géot
RpOA,Elaboration du rapport d'étude°,D00694,Etablissement du rapport d'étude géotechnique en 03 exemplaires,19,TD00694-1,Rapport d'étude Géot
RpV,Elaboration du rapport d'étude^,D00694,Etablissement du rapport d'étude géotechnique en 03 exemplaires,15,TD00694-1,Rapport d'étude Géot
RpOA,Elaboration du rapport d'étude°,D00693,Etablissement et rédaction des notices,18,TD00693,Rédaction des notices
RpB,Elaboration du rapport d'étude,D00693,Etablissement et rédaction des notices,18,TD00693,Rédaction des notices
RpOA,Elaboration du rapport d'étude°,D00692,Elaboration des maquettes,17,TD00692,Elaboration des maquettes
RpB,Elaboration du rapport d'étude,D00692,Elaboration des maquettes,17,TD00692,Elaboration des maquettes
VB,Essai au bleu de méthylène ,D00708,Rapport d'essai VB,3,TD00708,Rapport d'essai VB
µ,Essai de la teneur en eau,D00727,mesures de la teneur en eau,4,TD00727-1,w% gr
µ,Essai de la teneur en eau,D00727,mesures de la teneur en eau,4,TD00727-2,w% sol.
Rev,Essais sur revetement de sol,D00726,Mesure des caractéristiques dimensiionnelle,3,TD00726,Dimensions Rev sol
Ptr.L,Essais sur Poutrelle,D00725,Mesure des caraactéristiques dimensionnelle^,3,TD00725,Dimensions Poutrelle
Pav,Essais sur pavés,D00724,Mesure des caractériIstiques dimensionnelle,3,TD00724,Dimensions pavés
Hourd,Essais sur hourdis,D00723,Mesures des caractéristiques dimensionnelles,3,TD00723,Dimensions hourdis
E.fil gabion,Essais sur fil de gabion,D00722,Mesure des caractéristiques diimensionnelle,3,TD00722,Dimensions sur fil de gabion
Briq,Essais sur élements de maçonnerie en terre cuite,D00721,Mesure caractéristiques dimensionnelle,3,TD00721,Dimensions Brique
Moel,Essais sur élements de maçonnerie en moellon ,D00720,Mesures des caractéristiques dimensionnelle,3,TD00720,Dimensions Moellon
Coul.Inj,Essais sur coulis d'injection,D00716,Prélevement d'un échantillon de coulis d'injection frais,1,TD00716-1,"P.E.R. pour coulis d""injection"
Coul.Inj,Essais sur coulis d'injection,D00716,Prélevement d'un échantillon de coulis d'injection frais,1,TD00279-2,Saisi PV Mort_Coul
Coul.Inj,Essais sur coulis d'injection,D00715,Contrôle des performances mécaniques à la compréssion,5,TD00715,Contrôle des performances mécaniques à la compréssion
Moel,Essais sur élements de maçonnerie en moellon ,D00713,Rapport d'essai des éléments de maconnerie en moellon,5,TD00713,Rapport d'essai Moellon
Moel,Essais sur élements de maçonnerie en moellon ,D00712,Essai d'absorption d'eau par capilarité sur des éléments de maconnerie en moellon,4,TD00712,Abs Moellon
Moel,Essais sur élements de maçonnerie en moellon ,D00711,Essai de résistance à la compression des éléments de maconnerie en moellon,2,TD00711,RC Moellon
Moel,Essais sur élements de maçonnerie en moellon ,D00710,Prélevement des éléments de maconnerie en moellon,1,TD00710-1,P.E.R. Moellon
LabOA,Essais de laboratoire°,D00709,Essai de dureté Los Angeles (Sl),8,TD00142-1,LA.
LabV,Essais de laboratoire^,D00709,Essai de dureté Los Angeles (Sl),19,TD00142-1,LA.
Ea.Q,Paramétres physico-chimique de l'eau de gachage,D00002,Mesure de la teneur en matières dissoutes,3,TD00002,Teneur en matières dissoutes
Ea.Q,Paramétres physico-chimique de l'eau de gachage,D00003,Mesure de PH de l'eau,4,TD00003,PH de l'eau
Ea.Q,Paramétres physico-chimique de l'eau de gachage,D00004,Mesure des sulfates ,5,T00039,Sulfates £
Ea.N,Agrésivité des eaux souterraines,D00004,Mesure des sulfates ,1,T00039,Sulfates £
Ea.PC,Parametres physico-chimiques de l'eau,D00004,Mesure des sulfates ,5,T00039,Sulfates £
Ea.Q,Paramétres physico-chimique de l'eau de gachage,D00005,Dosage des chlorures ,6,TD00005,Chlorures
Ea.Q,Paramétres physico-chimique de l'eau de gachage,D00006,Mesure du dosage des matières en suspension,7,TD00006,Matières en suspension
Ea.Q,Paramétres physico-chimique de l'eau de gachage,D00007,"Essais préliminaires (Odeur, Couleur, Détergents, huiles et graisses)",2,TD00007,"Odeur, Couleur, Détergents, "
Ea.N,Agrésivité des eaux souterraines,D00008,Mesure de Magnésium,1,TD00008,Magnésium
Ea.Q,Paramétres physico-chimique de l'eau de gachage,D00008,Mesure de Magnésium,8,TD00008,Magnésium
Ea.Q,Paramétres physico-chimique de l'eau de gachage,D00009,Mesure de la dureté total,9,TD00009,Dureté total
